id,name,x,y,z,,rate,type,property,T_Thousands_of_tonnes
39,ESCAS,0.021762000000023818,39.97080249999999,0.5,,0.03331,base,base ,6538.184210526316
40,PTFDF,-8.858093262000011,40.148681640999996,0.5,,0.03331,base,base ,792.7142857142857
41,PTAVE,-8.72991943400001,40.649291991999974,0.5,,0.03331,base,base ,1800.078947368421
42,ESTAR,1.2327619999999797,41.10206199999999,0.5,,0.03331,base,base ,15028.868421052632
43,ESBCN,2.165693669999996,41.353088859000025,0.5,,0.03331,base,base ,18088.5
44,PTLEI,-8.702981500000021,41.183099500000026,0.5,,0.03331,base,base ,7028.578947368421
45,PTVDC,-8.842285156000003,41.68389892599998,0.5,,0.03331,base,base ,378.6666666666667
46,FRNOU,3.06390380900001,43.016479491999974,0.5,,0.03331,base,base ,957.0263157894736
47,FRTLN,5.915893555000025,43.117919922,0.5,,0.03331,base,base ,444.4583333333333
48,FRMRS,5.345006500000011,43.333191,0.5,,0.03331,base,base ,40468.13157894737
49,FRSET,3.7041015620000053,43.397277831999986,0.5,,0.03331,base,base ,1664.8684210526317
50,ESVGO,-8.729980468999997,42.241088866999974,0.5,,0.03331,base,base ,1769.7894736842106
51,ESMPG,-8.693298340000013,42.39849853499999,0.5,,0.03331,base,base ,901.078947368421
52,ESVIL,-8.775390625,42.596679687000005,0.5,,0.03331,base,base ,501.63157894736844
53,ESPAS,-1.9197998050000251,43.32189941399997,0.5,,0.03331,base,base ,1973.5526315789473
54,ESBIO,-3.032222499999989,43.34695449999998,0.5,,0.03331,base,base ,14905.473684210527
55,ESLCG,-8.39575400000001,43.363395500000024,0.5,,0.03331,base,base ,6144.078947368421
56,ESSDR,-3.808410644999981,43.45709228499999,0.5,,0.03331,base,base ,2523.5263157894738
57,ESFRO,-8.242305999999985,43.47614299999998,0.5,,0.03331,base,base ,5544.8421052631575
58,FRBAY,-1.48968505900001,43.50653076200001,0.5,,0.03331,base,base ,1663.1052631578948
59,ESGIJ,-5.685590499999989,43.5599555,0.5,,0.03331,base,base ,8942.842105263158
60,ESAVS,-5.929321288999972,43.58807373000002,0.5,,0.03331,base,base ,2312.1052631578946
61,FRBOD,-0.5629882810000026,44.835693359000004,0.5,,0.03331,base,base ,3928.3947368421054
62,FRLRH,-1.1591796879999947,46.154296875,0.5,,0.03331,base,base ,3874.2631578947367
63,FRLSO,-1.7911987300000192,46.49450683600003,0.5,,0.03331,base,base ,331375
64,FRNTE,-1.58258056599999,47.197692871000015,0.5,,0.03331,base,base ,14325.868421052632
65,FRLRT,-3.3500976560000026,47.74212646500001,0.5,,0.03331,base,base ,1222.1052631578948
66,FRBES,-4.475585937999995,48.379699706999986,0.5,,0.03331,base,base ,1228.157894736842
67,FRSML,-2.0280761719999987,48.645874022999976,0.5,,0.03331,base,base ,722.5263157894736
68,FRCFR,-0.35247802700001785,49.18389892599998,0.5,,0.03331,base,base ,958.0263157894736
69,FRURO,1.0458984370000053,49.439880371000015,0.5,,0.03331,base,base ,10393.657894736842
70,FRLEH,0.09647178599999506,49.47963436100002,0.5,,0.03331,base,base ,31728.13157894737
71,FRCER,-1.6132202150000126,49.64910888700001,0.5,,0.03331,base,base ,641.6578947368421
72,FRDPE,1.0842895509999835,49.93487548799999,0.5,,0.03331,base,base ,522.0263157894736
73,GBFOY,-4.63421630900001,50.335327147999976,0.5,,0.03331,base,base ,454.6666666666667
74,GBPLY,-4.135192871000015,50.36309814499998,0.5,,0.03331,base,base ,1063.342105263158
75,GBPOO,-1.9827880860000278,50.712097168000014,0.5,,0.03331,base,base ,566.9473684210526
76,FRBOL,1.5775146479999762,50.725097656,0.5,,0.03331,base,base ,521.0
77,GBNHV,0.058898925999983476,50.782470703,0.5,,0.03331,base,base ,415.39473684210526
78,GBPME,-1.1062011719999987,50.80889892599998,0.5,,0.03331,base,base ,1925.342105263158
79,GBSHO,-0.25091552700001785,50.830688477000024,0.5,,0.03331,base,base ,896.1052631578947
80,GBSOU,-1.405910939000023,50.89632164,0.5,,0.03331,base,base ,18031.447368421053
